,B_fighter,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Weight_lbs,B_age,Gender
955,Dennis Siver,2017-06-25,"Oklahoma City, Oklahoma, USA",Blue,False,Featherweight,3,2.0,0.0,0.0,9.95,5.45,6.05,2.3,107.4,31.7,94.6,21.75,0.35,15.35,11.1,1.6,0.25,1.95,0.65,0.28250000000000003,4.0,9.0,7.9,4.45,3.65,2.0,69.1,21.15,62.0,16.25,0.35,10.3,6.35,1.45,0.5,3.0,1.05,0.34600000000000003,47.0,627.95,0.0,0.0,0.0,6.0,3.0,2.0,0.0,11.0,Orthodox,167.64,145.0,38.0,1
956,Erik Koch,2017-06-25,"Oklahoma City, Oklahoma, USA",Red,False,Lightweight,3,0.0,1.0,0.0,3.7142857142857135,3.4285714285714284,6.142857142857142,4.857142857142857,37.42857142857143,10.285714285714286,40.0,11.714285714285715,0.2857142857142857,4.0,3.2857142857142856,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.07142857142857142,2.0,3.0,8.0,5.428571428571429,8.0,6.0,25.42857142857143,8.857142857142858,29.857142857142854,13.571428571428573,0.42857142857142855,5.571428571428571,3.7142857142857135,0.42857142857142855,0.2857142857142857,5.285714285714286,0.7142857142857143,0.09000000000000001,13.0,453.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,Southpaw,177.8,155.0,28.0,1
960,Johnny Case,2017-06-25,"Oklahoma City, Oklahoma, USA",Red,False,Lightweight,3,1.0,0.0,0.0,16.6,10.0,6.0,3.6,86.8,28.4,84.6,27.2,0.4,9.2,7.0,2.8,0.0,3.8,1.8,0.306,4.0,1.0,8.2,4.0,4.2,2.2,58.2,22.4,45.2,12.2,0.0,10.8,9.6,1.8,0.6,4.0,1.0,0.2,14.0,770.6,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,Orthodox,177.8,155.0,27.0,1
971,Carls John De Tomas,2017-06-17,"Kallang, Singapore",Red,False,Flyweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,165.1,125.0,20.0,1
973,Mark Hunt,2017-06-10,"Auckland, New Zealand",Blue,False,Heavyweight,5,2.0,0.0,0.0,2.7857142857142856,2.0,2.5,1.7857142857142858,55.42857142857143,22.642857142857146,55.78571428571429,23.07142857142857,0.5714285714285714,2.9285714285714284,2.142857142857143,0.5714285714285714,0.07142857142857142,0.9285714285714286,0.5,0.24285714285714285,4.0,7.0,7.7857142857142865,6.2142857142857135,5.571428571428571,3.7142857142857135,48.07142857142857,21.785714285714285,54.28571428571429,25.357142857142854,0.35714285714285715,4.785714285714286,4.0,1.5,0.21428571428571427,3.8571428571428568,1.0714285714285714,0.2,35.0,632.6428571428571,1.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,Orthodox,177.8,265.0,43.0,1
980,Dominique Steele,2017-06-10,"Auckland, New Zealand",Red,False,Welterweight,3,2.0,0.0,0.0,7.5,4.5,15.75,9.0,26.0,8.75,42.5,18.5,0.5,0.75,0.75,0.5,0.0,4.75,2.5,0.355,1.0,3.0,13.5,9.25,21.0,13.0,32.0,11.5,40.5,16.25,0.25,1.75,1.5,0.5,0.25,4.5,1.0,0.065,10.0,617.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,177.8,170.0,29.0,1
984,Max Holloway,2017-06-03,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,True,Featherweight,5,0.0,10.0,0.0,21.6875,15.3125,12.375,8.75,132.4375,51.75,123.5625,45.5,0.4375,7.0,5.375,0.875,0.4375,0.3125,0.25,0.1875,10.0,3.0,14.9375,6.9375,6.3125,3.5625,123.1875,38.125,103.5,24.9375,0.0,14.75,11.8125,0.75,0.1875,5.9375,1.0,0.166875,40.0,700.1875,1.0,0.0,1.0,4.0,6.0,2.0,0.0,13.0,Orthodox,180.34,155.0,25.0,1
986,Nate Marquardt,2017-06-03,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Middleweight,3,1.0,0.0,0.0,6.0,4.3478260869565215,6.086956521739131,4.217391304347826,31.52173913043478,13.826086956521738,34.04347826086956,14.391304347826088,0.4782608695652174,5.956521739130435,4.826086956521738,1.0,0.6086956521739131,2.260869565217391,1.391304347826087,0.4543478260869565,4.0,10.0,4.173913043478262,2.782608695652174,3.695652173913044,1.9565217391304348,36.78260869565217,12.91304347826087,35.95652173913044,11.608695652173912,0.3043478260869565,4.695652173913044,3.5217391304347827,0.7391304347826086,0.3043478260869565,2.391304347826087,0.6521739130434783,0.1965217391304348,48.0,545.8695652173913,1.0,0.0,0.0,4.0,6.0,3.0,0.0,13.0,Orthodox,182.88,185.0,38.0,1
993,Jimmy Wallhead,2017-06-03,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,False,Welterweight,3,1.0,0.0,0.0,8.0,5.0,2.0,1.0,128.0,44.0,113.0,31.0,1.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,8.0,8.0,5.0,164.0,65.0,135.0,48.0,0.0,17.0,14.0,0.0,0.0,3.0,0.0,0.0,3.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,177.8,170.0,33.0,1
994,Glover Teixeira,2017-05-28,"Stockholm, Sweden",Red,False,Light Heavyweight,5,0.0,1.0,0.0,6.666666666666668,4.083333333333333,7.75,3.9166666666666665,47.5,17.083333333333332,67.5,29.58333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,2.9166666666666665,0.4166666666666667,2.6666666666666665,1.5,0.3583333333333333,5.0,3.0,6.416666666666668,5.416666666666668,9.833333333333334,6.25,58.33333333333334,21.33333333333333,62.08333333333334,22.08333333333333,0.08333333333333333,3.583333333333333,3.25,0.8333333333333334,0.25,3.25,1.3333333333333333,0.13833333333333336,26.0,544.0833333333334,1.0,0.0,0.0,2.0,3.0,3.0,1.0,9.0,Orthodox,187.96,205.0,37.0,1
999,Alex Nicholson,2017-05-28,"Stockholm, Sweden",Red,False,Middleweight,3,1.0,0.0,0.0,11.333333333333336,7.333333333333332,3.6666666666666665,1.6666666666666667,83.33333333333333,36.0,66.33333333333333,22.33333333333333,0.3333333333333333,10.333333333333334,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,8.666666666666666,9.0,5.333333333333333,62.66666666666666,29.33333333333333,57.0,23.0,0.3333333333333333,5.666666666666668,4.666666666666667,2.333333333333333,0.6666666666666666,3.0,1.3333333333333333,0.5,6.0,528.3333333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Orthodox,193.04,185.0,27.0,1
1000,Damian Stasiak,2017-05-28,"Stockholm, Sweden",Red,False,Bantamweight,3,0.0,2.0,0.0,6.0,2.0,1.3333333333333333,0.6666666666666666,17.666666666666668,5.666666666666668,14.333333333333336,5.333333333333333,0.0,1.3333333333333333,1.3333333333333333,3.333333333333333,1.0,4.333333333333333,2.333333333333333,0.6466666666666666,2.0,1.0,5.0,4.0,7.666666666666668,4.666666666666667,24.66666666666667,9.666666666666666,26.66666666666667,9.0,0.0,5.333333333333333,4.666666666666667,4.333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,7.0,604.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Orthodox,165.1,135.0,27.0,1
1001,Chris Camozzi,2017-05-28,"Stockholm, Sweden",Red,False,Middleweight,3,2.0,0.0,0.0,9.555555555555557,7.0555555555555545,9.555555555555557,6.666666666666668,87.0,36.22222222222222,74.94444444444444,25.777777777777782,0.05555555555555555,13.388888888888891,11.055555555555555,0.3888888888888889,0.3333333333333333,1.1666666666666667,0.2222222222222222,0.09722222222222222,4.0,9.0,11.722222222222221,6.777777777777778,10.055555555555557,7.0555555555555545,66.44444444444444,24.277777777777782,59.27777777777778,19.11111111111111,0.05555555555555555,10.166666666666666,8.833333333333334,1.6666666666666667,0.3333333333333333,4.222222222222221,1.7222222222222223,0.4094444444444444,46.0,697.1111111111112,0.0,0.0,2.0,4.0,1.0,1.0,1.0,9.0,Orthodox,187.96,185.0,30.0,1
1017,Gadzhimurad Antigulov,2017-05-13,"Dallas, Texas, USA",Blue,False,Light Heavyweight,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Orthodox,180.34,205.0,30.0,1
1021,Eddie Wineland,2017-04-22,"Nashville, Tennessee, USA",Red,False,Bantamweight,3,0.0,2.0,0.0,9.7,5.3,2.9,2.0,112.0,30.4,109.2,28.8,0.6,2.3,1.9,0.3,0.0,1.0,0.2,0.133,2.0,5.0,14.1,7.2,4.0,3.1,103.4,36.5,86.3,25.4,0.2,12.6,9.5,0.1,0.0,4.1,0.3,0.043,23.0,621.6,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,Orthodox,170.18,135.0,32.0,1
1022,Stevie Ray,2017-04-22,"Nashville, Tennessee, USA",Blue,False,Lightweight,3,0.0,1.0,0.0,8.0,4.6,2.6,1.2,61.6,22.4,53.2,16.8,0.2,10.6,8.4,1.4,0.6,0.8,0.4,0.266,3.0,1.0,12.6,6.2,2.0,0.6,54.2,18.2,39.2,8.2,0.0,5.8,5.2,1.2,0.2,3.2,1.0,0.124,12.0,649.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,Southpaw,177.8,155.0,27.0,1
1026,Michael McBride,2017-04-22,"Nashville, Tennessee, USA",Red,False,Lightweight,3,1.0,0.0,0.0,3.0,1.0,1.0,0.0,27.0,14.0,22.0,10.0,0.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,2.0,2.0,19.0,10.0,43.0,32.0,0.0,2.0,1.0,8.0,1.0,6.0,5.0,0.83,2.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,185.42,155.0,31.0,1
1029,Joe Proctor,2017-04-22,"Nashville, Tennessee, USA",Red,False,Welterweight,3,1.0,0.0,0.0,6.428571428571429,4.428571428571429,7.142857142857142,4.285714285714286,74.71428571428571,25.0,70.57142857142857,21.142857142857142,0.2857142857142857,6.571428571428571,5.0,0.14285714285714285,1.1428571428571428,0.0,0.0,0.0,2.0,3.0,14.142857142857142,7.428571428571429,11.571428571428573,7.0,69.42857142857143,23.285714285714285,63.14285714285714,20.285714285714285,0.42857142857142855,7.857142857142858,5.0,0.42857142857142855,0.2857142857142857,3.8571428571428568,1.1428571428571428,0.18,14.0,530.7142857142857,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,Orthodox,177.8,155.0,31.0,1
1035,Roy Nelson,2017-04-15,"Kansas City, Missouri, USA",Red,False,Heavyweight,3,0.0,1.0,0.0,3.611111111111111,2.4444444444444446,8.11111111111111,4.277777777777779,50.66666666666666,16.11111111111111,55.33333333333334,17.944444444444443,0.5,2.6666666666666665,2.2222222222222223,0.6666666666666666,0.05555555555555555,2.555555555555556,0.8333333333333334,0.15333333333333332,3.0,9.0,14.388888888888891,11.555555555555555,18.277777777777782,13.444444444444445,71.16666666666667,33.611111111111114,70.55555555555556,31.277777777777782,0.1111111111111111,5.5,5.111111111111111,0.3888888888888889,0.0,1.7222222222222223,0.6111111111111112,0.10944444444444444,42.0,625.1666666666666,1.0,0.0,0.0,1.0,8.0,0.0,0.0,9.0,Orthodox,182.88,263.0,40.0,1
1036,Tom Duquesnoy,2017-04-15,"Kansas City, Missouri, USA",Blue,False,Bantamweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,170.18,135.0,23.0,1
1037,Rashid Magomedov,2017-04-15,"Kansas City, Missouri, USA",Blue,False,Lightweight,3,1.0,0.0,0.0,29.6,18.0,10.8,8.6,106.4,51.4,78.8,33.8,1.0,15.2,12.4,0.6,0.2,1.2,0.8,0.4,4.0,1.0,20.0,11.6,15.2,10.0,76.6,29.8,53.8,12.6,0.0,18.4,15.6,0.8,0.2,4.4,0.6,0.104,15.0,899.4,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,Orthodox,175.26,155.0,32.0,1
1038,Tim Elliott,2017-04-15,"Kansas City, Missouri, USA",Blue,False,Flyweight,3,4.0,0.0,0.0,16.571428571428573,9.714285714285714,12.714285714285715,9.0,85.14285714285714,30.57142857142857,92.71428571428572,35.714285714285715,0.14285714285714285,8.142857142857142,6.2857142857142865,2.7142857142857144,1.2857142857142858,5.428571428571429,3.2857142857142856,0.6428571428571429,2.0,5.0,9.285714285714286,6.571428571428571,6.2857142857142865,3.1428571428571432,85.57142857142857,28.714285714285715,80.28571428571429,23.142857142857146,0.0,6.428571428571429,5.285714285714286,3.2857142857142856,0.5714285714285714,3.8571428571428568,2.0,0.2857142857142857,21.0,892.5714285714287,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,Southpaw,170.18,135.0,30.0,1
1039,Augusto Mendes,2017-04-15,"Kansas City, Missouri, USA",Red,False,Bantamweight,3,0.0,1.0,0.0,4.5,3.0,10.0,6.5,62.5,20.0,60.5,19.0,0.0,8.5,4.5,0.5,0.0,4.5,2.0,0.22,1.0,1.0,13.0,6.5,9.0,6.5,63.0,18.0,52.5,12.0,1.0,8.0,7.0,0.0,0.0,2.0,0.0,0.0,4.0,579.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Orthodox,167.64,135.0,34.0,1
1040,Jake Collier,2017-04-15,"Kansas City, Missouri, USA",Red,False,Light Heavyweight,3,0.0,1.0,0.0,14.5,9.25,10.75,5.0,72.0,26.5,64.0,19.0,0.5,6.75,4.5,1.5,0.25,2.25,0.75,0.215,1.0,2.0,5.5,4.25,8.75,6.0,46.5,17.0,50.75,19.75,0.0,4.0,2.25,0.5,0.0,3.75,1.25,0.27,8.0,493.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,Orthodox,190.5,205.0,28.0,1
1042,Nathan Coy,2017-04-15,"Kansas City, Missouri, USA",Red,False,Welterweight,3,0.0,1.0,0.0,8.5,6.0,6.0,4.0,52.5,10.0,58.5,16.5,0.0,2.5,1.5,4.0,0.0,3.0,2.0,0.8,1.0,1.0,7.5,4.5,6.0,3.5,39.0,9.0,39.0,8.0,0.0,1.5,1.0,0.0,0.5,4.0,1.5,0.185,4.0,533.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Southpaw,177.8,170.0,38.0,1
1044,Anthony Johnson,2017-04-08,"Buffalo, New York, USA",Red,True,Light Heavyweight,5,0.0,3.0,0.0,3.7222222222222223,2.7222222222222223,4.5555555555555545,3.1666666666666665,29.444444444444446,11.222222222222221,34.5,13.833333333333336,0.7222222222222222,4.222222222222221,3.388888888888889,0.5555555555555556,0.2777777777777778,1.6666666666666667,1.0,0.2711111111111111,3.0,5.0,3.111111111111111,1.3333333333333333,2.333333333333333,1.3333333333333333,22.38888888888889,6.166666666666668,20.83333333333333,5.777777777777778,0.0,3.9444444444444446,2.833333333333333,0.5555555555555556,0.6666666666666666,1.6111111111111112,0.3333333333333333,0.07611111111111113,31.0,362.33333333333326,1.0,0.0,0.0,2.0,11.0,0.0,0.0,13.0,Orthodox,187.96,205.0,33.0,1
1045,Gegard Mousasi,2017-04-08,"Buffalo, New York, USA",Blue,False,Middleweight,3,0.0,4.0,0.0,5.727272727272728,3.9090909090909087,5.8181818181818175,3.4545454545454546,55.81818181818182,24.63636363636364,62.09090909090909,27.09090909090909,0.18181818181818185,7.727272727272727,6.8181818181818175,2.0,0.2727272727272727,1.4545454545454546,0.8181818181818182,0.3409090909090909,4.0,3.0,5.0,2.1818181818181817,1.0909090909090908,0.6363636363636364,40.0,10.545454545454543,34.36363636363637,7.909090909090909,0.09090909090909093,5.454545454545454,3.9090909090909087,0.8181818181818182,0.18181818181818185,2.9090909090909087,0.5454545454545454,0.11181818181818183,25.0,610.3636363636364,0.0,0.0,0.0,3.0,4.0,1.0,0.0,8.0,Orthodox,187.96,185.0,31.0,1
1047,Patrick Cote,2017-04-08,"Buffalo, New York, USA",Red,False,Welterweight,3,1.0,0.0,0.0,8.8,4.95,10.0,6.45,44.35,18.35,43.45,18.35,0.3,10.1,7.6,0.9,0.2,2.5,0.5,0.133,4.0,10.0,10.4,7.95,11.3,7.7,43.55,18.75,49.35,20.85,0.25,7.0,5.75,1.6,0.6,2.65,1.45,0.5245,50.0,666.35,2.0,0.0,1.0,4.0,4.0,0.0,0.0,10.0,Orthodox,180.34,170.0,37.0,1
1049,Mike de la Torre,2017-04-08,"Buffalo, New York, USA",Red,False,Featherweight,3,1.0,0.0,0.0,5.166666666666667,4.166666666666667,8.333333333333334,6.166666666666668,44.83333333333334,13.5,50.33333333333334,17.5,0.16666666666666666,0.5,0.5,0.0,0.0,1.0,0.16666666666666666,0.08333333333333333,1.0,4.0,11.833333333333336,8.0,17.166666666666668,13.333333333333336,41.66666666666666,13.5,45.0,16.833333333333332,0.16666666666666666,2.333333333333333,2.0,0.5,0.6666666666666666,6.833333333333332,1.0,0.18333333333333332,10.0,379.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,Orthodox,180.34,145.0,30.0,1
1051,Charles Rosa,2017-04-08,"Buffalo, New York, USA",Red,False,Featherweight,3,0.0,1.0,0.0,12.75,6.5,4.5,2.5,113.25,40.5,99.0,31.0,0.0,14.25,10.0,3.75,1.25,8.5,3.25,0.3975,1.0,2.0,9.5,7.0,9.5,6.0,89.25,41.0,83.25,33.25,0.25,13.25,12.25,4.0,0.75,4.0,2.0,0.655,12.0,895.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,Switch,175.26,145.0,30.0,1
1061,Reza Madadi,2017-03-18,"London, England, United Kingdom",Red,False,Lightweight,3,0.0,1.0,0.0,4.8,3.6,10.8,7.2,54.0,20.8,66.0,29.6,0.0,1.4,1.2,1.4,0.6,6.2,2.4,0.482,1.0,2.0,17.0,10.8,11.0,6.8,105.6,33.0,97.6,26.4,0.2,5.2,4.2,0.6,0.0,3.8,0.4,0.052000000000000005,14.0,719.4,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,Orthodox,180.34,155.0,38.0,1
1063,Tim Johnson,2017-03-18,"London, England, United Kingdom",Blue,False,Heavyweight,3,1.0,0.0,0.0,7.25,4.5,15.5,10.5,55.75,14.75,72.5,26.0,0.25,4.25,3.5,0.75,0.0,3.5,1.25,0.3425,1.0,2.0,8.75,6.5,10.5,8.0,48.25,20.25,49.75,21.5,0.0,2.5,2.25,1.0,0.25,2.75,1.0,0.3075,10.0,749.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Southpaw,190.5,265.0,32.0,1
1064,Vicente Luque,2017-03-18,"London, England, United Kingdom",Red,False,Welterweight,3,0.0,4.0,0.0,6.0,4.0,2.2,1.6,26.4,10.8,26.2,9.8,0.4,3.8,3.2,0.8,0.6,1.0,0.8,0.16,4.0,1.0,3.0,2.0,3.2,2.0,20.0,8.8,20.0,9.0,0.0,2.2,1.4,0.8,0.0,2.4,1.4,0.14,8.0,340.8,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,Orthodox,180.34,170.0,25.0,1
1070,Beneil Dariush,2017-03-11,"Fortaleza, Ceara, Brazil",Red,False,Lightweight,3,0.0,2.0,0.0,15.1,9.8,13.2,8.6,51.5,20.3,50.2,18.5,0.3,6.6,5.5,2.0,0.5,3.3,0.9,0.29100000000000004,5.0,2.0,15.2,8.6,7.3,4.8,57.2,20.0,47.5,14.4,0.2,4.2,3.7,0.8,0.6,1.6,0.4,0.225,21.0,557.7,0.0,0.0,1.0,3.0,1.0,3.0,0.0,8.0,Southpaw,177.8,155.0,27.0,1
1077,Joshua Burkman,2017-03-11,"Fortaleza, Ceara, Brazil",Red,False,Lightweight,3,2.0,0.0,0.0,8.5625,5.4375,11.8125,7.5625,59.3125,22.0,53.1875,15.9375,0.125,14.0625,11.5625,0.75,0.25,5.625,2.125,0.428125,2.0,10.0,11.125,7.875,12.875,8.9375,59.3125,23.875,58.6875,22.8125,0.125,7.25,5.9375,0.625,0.625,2.9375,0.75,0.223125,42.0,730.625,0.0,0.0,1.0,3.0,1.0,1.0,0.0,6.0,Orthodox,177.8,170.0,36.0,1
1080,Stephen Thompson,2017-03-04,"Las Vegas, Nevada, USA",Red,True,Welterweight,5,1.0,0.0,0.0,17.0,11.0,6.3,4.6,94.4,39.7,82.8,31.1,0.8,6.1,5.5,0.5,0.0,1.0,0.5,0.183,7.0,2.0,12.3,7.4,11.4,8.3,60.5,19.6,55.4,17.1,0.2,9.8,7.8,0.6,0.3,2.8,0.6,0.13799999999999998,25.0,704.3,1.0,0.0,0.0,3.0,5.0,0.0,0.0,8.0,Orthodox,182.88,170.0,34.0,1
1085,Luis Henrique,2017-03-04,"Las Vegas, Nevada, USA",Red,False,Heavyweight,3,0.0,2.0,0.0,2.333333333333333,2.333333333333333,3.6666666666666665,2.0,14.333333333333336,5.666666666666668,32.0,15.666666666666664,0.0,0.6666666666666666,0.6666666666666666,2.333333333333333,1.0,6.333333333333332,2.6666666666666665,0.43333333333333335,2.0,1.0,3.333333333333333,3.0,5.666666666666668,4.333333333333333,22.0,7.666666666666668,25.33333333333333,9.333333333333334,0.3333333333333333,2.333333333333333,1.6666666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,7.0,581.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Orthodox,187.96,243.0,23.0,1
1091,Travis Browne,2017-02-19,"Halifax, Nova Scotia, Canada",Red,False,Heavyweight,5,2.0,0.0,0.0,7.6,4.733333333333333,3.733333333333333,3.066666666666667,43.33333333333334,13.466666666666667,44.26666666666666,14.733333333333333,0.3333333333333333,4.533333333333333,3.466666666666667,1.1333333333333333,0.13333333333333333,0.9333333333333332,0.6666666666666666,0.32133333333333336,3.0,6.0,7.866666666666666,6.4,10.333333333333334,7.8,43.93333333333333,22.266666666666666,41.53333333333333,19.0,0.4666666666666667,8.8,7.666666666666668,0.3333333333333333,0.26666666666666666,1.6,0.26666666666666666,0.066,27.0,478.33333333333326,0.0,0.0,0.0,1.0,7.0,1.0,0.0,9.0,Orthodox,198.12,255.0,34.0,1
1093,Gavin Tucker,2017-02-19,"Halifax, Nova Scotia, Canada",Blue,False,Featherweight,3,0.0,0.0,0.0,6.9230769230769225,4.823529411764706,6.333333333333332,4.2,44.0,15.0,48.66666666666666,17.576923076923073,0.125,4.454545454545454,3.583333333333333,1.0,0.3333333333333333,2.0,1.0,0.3,0.0,0.0,6.8,4.5,5.875,3.6666666666666665,43.14285714285715,14.384615384615385,46.125,14.8,0.0,4.75,3.7222222222222223,0.6666666666666666,0.25,2.375,0.8461538461538461,0.2371428571428572,0.0,606.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southpaw,167.64,145.0,30.0,1
1096,Alessandro Ricci,2017-02-19,"Halifax, Nova Scotia, Canada",Red,False,Lightweight,3,1.0,0.0,0.0,28.0,16.0,22.0,15.0,37.0,13.0,25.0,7.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,15.0,8.0,23.0,11.0,45.0,15.0,51.0,16.0,0.0,5.0,3.0,0.0,0.0,14.0,5.0,0.35,3.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,180.34,155.0,34.0,1
1104,Tim Boetsch,2017-02-11,"Brooklyn, New York, USA",Red,False,Middleweight,3,0.0,2.0,0.0,9.55,6.6,10.45,7.1,37.65,16.1,38.2,15.95,0.35,5.25,4.45,0.75,0.55,2.95,1.05,0.19699999999999998,4.0,9.0,9.0,6.9,10.4,6.4,40.3,13.05,46.9,15.55,0.1,5.15,4.0,1.05,0.45,2.4,1.0,0.26,44.0,563.45,0.0,0.0,2.0,3.0,6.0,0.0,0.0,11.0,Orthodox,182.88,185.0,36.0,1
1110,Phillipe Nover,2017-02-11,"Brooklyn, New York, USA",Red,False,Featherweight,3,2.0,0.0,0.0,11.333333333333336,6.666666666666668,6.333333333333332,4.833333333333333,50.33333333333334,13.166666666666664,43.5,9.166666666666666,0.0,4.5,3.0,0.16666666666666666,0.6666666666666666,3.1666666666666665,1.0,0.08333333333333333,1.0,5.0,9.5,5.833333333333332,8.666666666666666,6.5,45.0,15.0,45.16666666666666,13.166666666666664,0.0,12.5,10.0,1.5,0.16666666666666666,4.5,3.5,0.86,16.0,760.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Orthodox,175.26,145.0,33.0,1
1111,Roan Carneiro,2017-02-11,"Brooklyn, New York, USA",Red,False,Welterweight,3,0.0,1.0,0.0,2.5,2.0,3.5,2.75,16.0,6.375,24.375,10.75,0.0,1.5,1.5,2.75,1.125,4.25,2.25,0.42,1.0,4.0,3.125,2.375,3.375,2.375,24.875,5.5,34.875,9.5,0.0,3.625,2.875,0.5,0.375,0.25,0.0,0.0,17.0,546.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,Orthodox,180.34,170.0,38.0,1
